index,0,1,2,3,4,5,6,7,8,9,10,MSE,error,std,threshold,is_error
2023-01-04,0.02,0.01,0.06,0.06,0.06,0.08,0.03,0.02,0.01,0.04,0.04,0.001630302,0,0.003164644,0.396835356,0
2023-01-05,0.01,0.02,0.07,0.06,0.05,0.08,0.02,0.01,0.01,0.05,0.05,0.002011312,0,0.005394955,0.394605045,0
2023-01-06,0.03,0.01,0.07,0.06,0.05,0.07,0.03,0.01,0.01,0.03,0.05,0.001316237,0,0.008243459,0.391756541,0
2023-01-07,0.02,0.02,0.06,0.07,0.04,0.07,0.02,0.01,0.01,0.04,0.04,0.001632568,0,0.007158827,0.392841173,0
2023-01-08,0.02,0.02,0.06,0.07,0.04,0.08,0.03,0.02,0.01,0.04,0.05,0.001612172,0,0.005974163,0.394025837,0
2023-01-09,0.02,0.01,0.06,0.07,0.04,0.08,0.03,0.01,0.01,0.03,0.05,0.000895077,0,0.003448298,0.396551702,0
2023-01-10,0.03,0.01,0.07,0.05,0.04,0.08,0.03,0.01,0.01,0.03,0.05,0.001506149,0,0.002845117,0.397154883,0
2023-01-11,0.02,0.01,0.06,0.06,0.05,0.07,0.03,0.01,0.02,0.04,0.04,0.001237869,0,0.005393243,0.394606757,0
2023-01-12,0.02,0.02,0.07,0.06,0.05,0.06,0.03,0.02,0.01,0.04,0.05,0.001309891,0,0.005913756,0.394086244,0
2023-01-13,0.02,0.01,0.07,0.06,0.04,0.06,0.03,0.01,0.01,0.04,0.05,0.001063889,0,0.007527285,0.392472715,0
2023-01-14,0.02,0.01,0.07,0.06,0.05,0.07,0.03,0.01,0.01,0.04,0.05,0.001854999,0,0.007814553,0.392185447,0
2023-01-15,0.02,0.02,0.06,0.06,0.04,0.07,0.03,0.01,0.01,0.04,0.04,0.001237355,0,0.002104245,0.397895755,0
2023-01-16,0.02,0.01,0.06,0.07,0.05,0.07,0.03,0.01,0.01,0.03,0.05,0.0020635,0,0.004513358,0.395486642,0
2023-01-17,0.02,0.02,0.06,0.06,0.05,0.07,0.03,0.02,0.01,0.03,0.04,0.001640531,0,0.008468503,0.391531497,0
2023-01-18,0.02,0.02,0.06,0.06,0.05,0.07,0.03,0.01,0.01,0.03,0.05,0.001874415,0,0.003975764,0.396024236,0
2023-01-19,0.02,0.01,0.06,0.05,0.04,0.07,0.03,0.02,0.01,0.04,0.04,0.00171801,0,0.003605576,0.396394424,0
2023-01-20,0.02,0.02,0.07,0.06,0.04,0.08,0.03,0.01,0.01,0.04,0.05,0.001323984,0,0.003805959,0.396194041,0
2023-01-21,0.02,0.01,0.06,0.06,0.04,0.07,0.03,0.01,0.01,0.03,0.05,0.001213801,0,0.005821294,0.394178706,0
2023-01-22,0.02,0.01,0.07,0.06,0.04,0.07,0.03,0.02,0.01,0.04,0.05,0.001973839,0,0.007180878,0.392819122,0
2023-01-23,0.02,0.01,0.07,0.06,0.05,0.07,0.03,0.01,0.01,0.04,0.05,0.002640121,0,0.008859645,0.391140355,0
2023-01-24,0.02,0.01,0.06,0.06,0.04,0.07,0.03,0.01,0.01,0.03,0.05,0.002652377,0,0.007535344,0.392464656,0
2023-01-25,0.02,0.02,0.07,0.06,0.05,0.07,0.03,0.01,0.01,0.04,0.05,0.001715804,0,0.006122778,0.393877222,0
2023-01-26,0.03,0.02,0.06,0.06,0.04,0.07,0.03,0.01,0.01,0.02,0.05,0.001983196,0,0.007208645,0.392791355,0
2023-01-27,0.02,0.02,0.06,0.06,0.05,0.08,0.03,0.01,0.01,0.04,0.05,0.00136512,0,0.002587567,0.397412433,0
2023-01-28,0.02,0.01,0.06,0.06,0.05,0.07,0.03,0.01,0.01,0.03,0.05,0.001181979,0,0.006794684,0.393205316,0
